variant_name,layer_index,probe_name,probe_family,rank,num_parameters_mean,num_parameters_std,run_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,18,exact_r2,exact,2,2062,0.0,5,0.705,0.009700372272352344,0.5305555555555556,0.04949591578112626,0.5444444444444444,0.033878641437917946
pretrained,18,exact_r4,exact,4,4122,0.0,5,0.713,0.008407998837086319,0.5263888888888889,0.05343162239353153,0.5402777777777777,0.04120110270608706
pretrained,18,exact_r64,exact,64,65922,0.0,5,0.7328333333333333,0.02525288762366261,0.55,0.04590692744732892,0.55,0.04590692744732892
pretrained,18,exact_r8,exact,8,8242,0.0,5,0.7288333333333333,0.012864140511946807,0.5375,0.051407654231449294,0.5375,0.051407654231449294
pretrained,18,pairwise,pairwise,64,533058,0.0,5,1.0,0.0,0.5763888888888888,0.03330438557856055,0.5763888888888888,0.03330438557856055
pretrained,18,pairwise_plus_query_context,pairwise_plus_query_context,64,800496,0.0,5,0.9991666666666666,0.0018633899812498182,0.5666666666666667,0.020006750404011026,0.5666666666666667,0.020006750404011026
pretrained,18,pairwise_plus_triadic,pairwise_plus_triadic,64,1067934,0.0,5,0.9924999999999999,0.007637626158259746,0.6597222222222222,0.0170103454359943,0.6597222222222222,0.0170103454359943
pretrained,18,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,1069185,0.0,5,0.9996666666666667,0.0007453559924999471,0.5680555555555555,0.05454815801848743,0.5680555555555555,0.05454815801848743
pretrained,18,query_only,query_only,64,1538,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,18,triadic,triadic,87,534878,0.0,5,0.9943333333333333,0.005445436417568186,0.6805555555555556,0.027777777777777762,0.6805555555555556,0.027777777777777762
pretrained,19,exact_r1,exact,1,1032,0.0,5,0.6543333333333333,0.02099437755421409,0.5277777777777778,0.033664443454280074,0.5305555555555556,0.030508170328456687
pretrained,19,exact_r16,exact,16,16482,0.0,5,0.7425,0.01803738401826114,0.5388888888888889,0.04408491735584409,0.5444444444444444,0.03694287799519551
pretrained,19,exact_r2,exact,2,2062,0.0,5,0.7045,0.007279155933974138,0.5194444444444445,0.06199642811296014,0.5444444444444444,0.042977079018793926
pretrained,19,exact_r4,exact,4,4122,0.0,5,0.7236666666666667,0.004587119648174304,0.4986111111111111,0.056715324969709484,0.5402777777777777,0.03451326011052552
pretrained,19,exact_r64,exact,64,65922,0.0,5,0.7425,0.020799973290581128,0.5333333333333333,0.055858548756083926,0.5444444444444444,0.04516559039308086
pretrained,19,exact_r8,exact,8,8242,0.0,5,0.7288333333333333,0.008006074082983603,0.5333333333333333,0.04846207311768862,0.5444444444444444,0.0356135594582169
pretrained,19,pairwise,pairwise,64,533058,0.0,5,0.9986666666666667,0.002981423969999739,0.5388888888888889,0.05481274239075309,0.5444444444444444,0.0492517311847143
pretrained,19,pairwise_plus_query_context,pairwise_plus_query_context,64,800496,0.0,5,0.9935,0.0034054694569504466,0.5527777777777778,0.05822576060070719,0.5527777777777778,0.05822576060070719
pretrained,19,pairwise_plus_triadic,pairwise_plus_triadic,64,1067934,0.0,5,0.9888333333333333,0.00727915593397414,0.6486111111111111,0.028036985053036593,0.6486111111111111,0.028036985053036593
pretrained,19,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,1069185,0.0,5,0.9973333333333333,0.003791437722025769,0.5555555555555556,0.02644365661758301,0.5555555555555556,0.02644365661758301
pretrained,19,query_only,query_only,64,1538,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,19,triadic,triadic,87,534878,0.0,5,0.9798333333333333,0.01461781637439582,0.6555555555555556,0.026715811196765752,0.6555555555555556,0.026715811196765752
pretrained,20,exact_r1,exact,1,1032,0.0,5,0.6685,0.015177194148531612,0.5013888888888889,0.059211315964700584,0.5486111111111112,0.023549756885851623
pretrained,20,exact_r16,exact,16,16482,0.0,5,0.7516666666666667,0.022859777873908665,0.5236111111111111,0.05945515220278887,0.5402777777777777,0.0469456771698766
pretrained,20,exact_r2,exact,2,2062,0.0,5,0.711,0.025456935313496697,0.5166666666666667,0.06743624103505677,0.5527777777777778,0.037589912785345465
pretrained,20,exact_r4,exact,4,4122,0.0,5,0.7368333333333333,0.009743231268709358,0.5083333333333333,0.06022078719077443,0.5416666666666666,0.03928371006591929
pretrained,20,exact_r64,exact,64,65922,0.0,5,0.759,0.012725739445880728,0.5444444444444445,0.04489786076456838,0.5472222222222223,0.04120110270608704
pretrained,20,exact_r8,exact,8,8242,0.0,5,0.7484999999999999,0.01304905275404225,0.5027777777777778,0.04543174231610035,0.5361111111111111,0.0210635429001432
pretrained,20,pairwise,pairwise,64,533058,0.0,5,0.9996666666666667,0.0007453559924999471,0.5680555555555555,0.0562885670254429,0.5680555555555555,0.0562885670254429
pretrained,20,pairwise_plus_query_context,pairwise_plus_query_context,64,800496,0.0,5,0.9973333333333333,0.004346134936801768,0.5708333333333333,0.02616867177974554,0.5708333333333333,0.02616867177974554
pretrained,20,pairwise_plus_triadic,pairwise_plus_triadic,64,1067934,0.0,5,0.9974999999999999,0.0028867513459480995,0.6638888888888889,0.04125958549309153,0.6638888888888889,0.04125958549309153
pretrained,20,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,1069185,0.0,5,0.9968333333333333,0.007080881928749349,0.5430555555555555,0.02570382711572465,0.5430555555555555,0.02570382711572465
pretrained,20,query_only,query_only,64,1538,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,20,triadic,triadic,87,534878,0.0,5,0.9818333333333333,0.01251942934446739,0.6319444444444444,0.024552318791199564,0.6319444444444444,0.024552318791199564
pretrained,21,exact_r1,exact,1,1032,0.0,5,0.6481666666666667,0.007691987172809572,0.5152777777777777,0.028800612990732947,0.5208333333333333,0.024056261216234418
pretrained,21,exact_r16,exact,16,16482,0.0,5,0.7556666666666667,0.015404274298605093,0.5430555555555555,0.0679349838966422,0.5458333333333333,0.06562408141626361
pretrained,21,exact_r2,exact,2,2062,0.0,5,0.707,0.016399949186913163,0.5416666666666666,0.04910463758239914,0.5416666666666666,0.04910463758239914
pretrained,21,exact_r4,exact,4,4122,0.0,5,0.7351666666666666,0.01017895432306835,0.5388888888888889,0.05525090078032246,0.5416666666666666,0.052658857250358
pretrained,21,exact_r64,exact,64,65922,0.0,5,0.7656666666666667,0.015782814141407777,0.5430555555555555,0.06540324821095059,0.548611111111111,0.06034078887841241
