variant_name,layer_index,probe_name,group_type,group_name,run_count,example_count_mean,example_count_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,2,exact,template_family_id,above,5,24,0.0,0.55,0.10374916331657277,0.6,0.0372677996249965
pretrained,2,exact,template_family_id,active,5,24,0.0,0.5833333333333334,0.05103103630798288,0.5833333333333334,0.05103103630798288
pretrained,2,exact,template_family_id,below,5,24,0.0,0.5833333333333334,0.12842529172852032,0.6,0.11257713405088578
pretrained,2,exact,template_family_id,mixed_ab_inverse,5,24,0.0,0.6416666666666666,0.0756912588524373,0.6416666666666666,0.0756912588524373
pretrained,2,exact,template_family_id,mixed_bc_inverse,5,24,0.0,0.6083333333333333,0.08640183897219884,0.6083333333333333,0.08640183897219884
pretrained,2,exact,template_family_id,passive,5,24,0.0,0.7416666666666667,0.09947780321927768,0.7416666666666667,0.09947780321927768
pretrained,2,exact,template_id,above_reverse,5,24,0.0,0.55,0.10374916331657277,0.6,0.0372677996249965
pretrained,2,exact,template_id,active_reverse,5,24,0.0,0.5833333333333334,0.05103103630798288,0.5833333333333334,0.05103103630798288
pretrained,2,exact,template_id,below_forward,5,24,0.0,0.5833333333333334,0.12842529172852032,0.6,0.11257713405088578
pretrained,2,exact,template_id,mixed_ab_inverse_reverse,5,24,0.0,0.6416666666666666,0.0756912588524373,0.6416666666666666,0.0756912588524373
pretrained,2,exact,template_id,mixed_bc_inverse,5,24,0.0,0.6083333333333333,0.08640183897219884,0.6083333333333333,0.08640183897219884
pretrained,2,exact,template_id,passive_forward,5,24,0.0,0.7416666666666667,0.09947780321927768,0.7416666666666667,0.09947780321927768
pretrained,2,pairwise,template_family_id,above,5,24,0.0,0.6166666666666667,0.045643546458763805,0.6166666666666667,0.045643546458763805
pretrained,2,pairwise,template_family_id,active,5,24,0.0,0.6666666666666666,0.05103103630798288,0.6666666666666666,0.05103103630798288
pretrained,2,pairwise,template_family_id,below,5,24,0.0,0.5583333333333333,0.08640183897219883,0.575,0.06846531968814575
pretrained,2,pairwise,template_family_id,mixed_ab_inverse,5,24,0.0,0.5333333333333333,0.054326686710022096,0.55,0.03486083443891983
pretrained,2,pairwise,template_family_id,mixed_bc_inverse,5,24,0.0,0.5333333333333333,0.1118033988749895,0.6,0.03726779962499646
pretrained,2,pairwise,template_family_id,passive,5,24,0.0,0.6416666666666666,0.12360330811826105,0.6583333333333333,0.09501461875826146
pretrained,2,pairwise,template_id,above_reverse,5,24,0.0,0.6166666666666667,0.045643546458763805,0.6166666666666667,0.045643546458763805
pretrained,2,pairwise,template_id,active_reverse,5,24,0.0,0.6666666666666666,0.05103103630798288,0.6666666666666666,0.05103103630798288
pretrained,2,pairwise,template_id,below_forward,5,24,0.0,0.5583333333333333,0.08640183897219883,0.575,0.06846531968814575
pretrained,2,pairwise,template_id,mixed_ab_inverse_reverse,5,24,0.0,0.5333333333333333,0.054326686710022096,0.55,0.03486083443891983
pretrained,2,pairwise,template_id,mixed_bc_inverse,5,24,0.0,0.5333333333333333,0.1118033988749895,0.6,0.03726779962499646
pretrained,2,pairwise,template_id,passive_forward,5,24,0.0,0.6416666666666666,0.12360330811826105,0.6583333333333333,0.09501461875826146
pretrained,2,query_only,template_family_id,above,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,2,query_only,template_family_id,active,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,2,query_only,template_family_id,below,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,2,query_only,template_family_id,mixed_ab_inverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,2,query_only,template_family_id,mixed_bc_inverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,2,query_only,template_family_id,passive,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,2,query_only,template_id,above_reverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,2,query_only,template_id,active_reverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,2,query_only,template_id,below_forward,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,2,query_only,template_id,mixed_ab_inverse_reverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,2,query_only,template_id,mixed_bc_inverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,2,query_only,template_id,passive_forward,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,2,triadic,template_family_id,above,5,24,0.0,0.6083333333333333,0.03726779962499651,0.6083333333333333,0.03726779962499651
pretrained,2,triadic,template_family_id,active,5,24,0.0,0.6083333333333333,0.07569125885243731,0.6083333333333333,0.07569125885243731
pretrained,2,triadic,template_family_id,below,5,24,0.0,0.48333333333333334,0.14006446928309677,0.5833333333333334,0.10622957319984969
pretrained,2,triadic,template_family_id,mixed_ab_inverse,5,24,0.0,0.35000000000000003,0.0756912588524373,0.6499999999999999,0.07569125885243731
pretrained,2,triadic,template_family_id,mixed_bc_inverse,5,24,0.0,0.3833333333333333,0.18726837545203526,0.65,0.15478479684172258
pretrained,2,triadic,template_family_id,passive,5,24,0.0,0.5833333333333334,0.15866193970549808,0.65,0.07569125885243733
pretrained,2,triadic,template_id,above_reverse,5,24,0.0,0.6083333333333333,0.03726779962499651,0.6083333333333333,0.03726779962499651
pretrained,2,triadic,template_id,active_reverse,5,24,0.0,0.6083333333333333,0.07569125885243731,0.6083333333333333,0.07569125885243731
pretrained,2,triadic,template_id,below_forward,5,24,0.0,0.48333333333333334,0.14006446928309677,0.5833333333333334,0.10622957319984969
pretrained,2,triadic,template_id,mixed_ab_inverse_reverse,5,24,0.0,0.35000000000000003,0.0756912588524373,0.6499999999999999,0.07569125885243731
pretrained,2,triadic,template_id,mixed_bc_inverse,5,24,0.0,0.3833333333333333,0.18726837545203526,0.65,0.15478479684172258
pretrained,2,triadic,template_id,passive_forward,5,24,0.0,0.5833333333333334,0.15866193970549808,0.65,0.07569125885243733
pretrained,3,exact,template_family_id,above,5,24,0.0,0.6666666666666666,0.05103103630798288,0.6666666666666666,0.05103103630798288
pretrained,3,exact,template_family_id,active,5,24,0.0,0.6583333333333333,0.04564354645876383,0.6583333333333333,0.04564354645876383
pretrained,3,exact,template_family_id,below,5,24,0.0,0.5166666666666667,0.1461306493062515,0.6166666666666667,0.0684653196881457
pretrained,3,exact,template_family_id,mixed_ab_inverse,5,24,0.0,0.49166666666666664,0.0994778032192777,0.5750000000000001,0.0543266867100221
pretrained,3,exact,template_family_id,mixed_bc_inverse,5,24,0.0,0.6416666666666667,0.08640183897219884,0.6416666666666667,0.08640183897219884
pretrained,3,exact,template_family_id,passive,5,24,0.0,0.6666666666666666,0.1640418307085794,0.6666666666666666,0.1640418307085794
pretrained,3,exact,template_id,above_reverse,5,24,0.0,0.6666666666666666,0.05103103630798288,0.6666666666666666,0.05103103630798288
pretrained,3,exact,template_id,active_reverse,5,24,0.0,0.6583333333333333,0.04564354645876383,0.6583333333333333,0.04564354645876383
pretrained,3,exact,template_id,below_forward,5,24,0.0,0.5166666666666667,0.1461306493062515,0.6166666666666667,0.0684653196881457
