variant_name,layer_index,probe_name,rank,num_parameters_mean,num_parameters_std,run_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,9,exact,64,49282,0.0,5,0.9888333333333333,0.0035158371849548517,0.6291666666666667,0.03279366375865999,0.6291666666666667,0.03279366375865999
pretrained,9,pairwise,64,401730,0.0,5,0.9915,0.007439571373555206,0.5986111111111111,0.01335790559838287,0.5986111111111111,0.01335790559838287
pretrained,9,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,9,triadic,75,403502,0.0,5,0.9953333333333333,0.0025413251136628128,0.5152777777777777,0.017975248757701075,0.5180555555555555,0.014400306495366472
pretrained,10,exact,64,49282,0.0,5,0.987,0.004587119648174279,0.6194444444444445,0.01729152721942878,0.6194444444444445,0.01729152721942878
pretrained,10,pairwise,64,401730,0.0,5,0.9993333333333333,0.0010865337342004196,0.5986111111111111,0.03520497737676826,0.5986111111111111,0.03520497737676826
pretrained,10,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,10,triadic,75,403502,0.0,5,0.9943333333333333,0.005755432216610685,0.5194444444444445,0.02217877697593239,0.5222222222222223,0.01863389981249828
pretrained,11,exact,64,49282,0.0,5,0.9798333333333333,0.004141591213263072,0.5819444444444445,0.018633899812498238,0.5819444444444445,0.018633899812498238
pretrained,11,pairwise,64,401730,0.0,5,0.9768333333333333,0.02980492129386241,0.5694444444444444,0.03958942448260896,0.5694444444444444,0.03958942448260896
pretrained,11,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,11,triadic,75,403502,0.0,5,0.9905,0.00877179824462719,0.5208333333333334,0.04606423319938056,0.5430555555555555,0.018633899812498238
pretrained,12,exact,64,49282,0.0,5,0.9675,0.01047483757498046,0.6,0.011620278146306617,0.6,0.011620278146306617
pretrained,12,pairwise,64,401730,0.0,5,0.9996666666666667,0.0007453559924999471,0.5416666666666667,0.03182344232608223,0.5472222222222223,0.019885862587883846
pretrained,12,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,12,triadic,75,403502,0.0,5,0.9928333333333333,0.006682273398909806,0.475,0.038851668696387134,0.5361111111111111,0.02570382711572464
random_control,0,exact,64,49282,0.0,5,0.6615,0.01295558652559666,0.45555555555555555,0.04516559039308081,0.55,0.037203042322163565
random_control,0,pairwise,64,401730,0.0,5,0.8825,0.0020412414523193058,0.45,0.0440301874559649,0.55,0.044030187455964924
random_control,0,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,0,triadic,75,403502,0.0,5,0.956,0.006624868971450617,0.4125,0.03561355945821689,0.5875,0.03561355945821687
random_control,1,exact,64,49282,0.0,5,0.6656666666666666,0.011171019052291805,0.4611111111111111,0.018108895570007343,0.5388888888888889,0.018108895570007343
random_control,1,pairwise,64,401730,0.0,5,0.8885,0.014783154827933935,0.4527777777777778,0.02751612882799854,0.5472222222222223,0.02751612882799854
random_control,1,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,1,triadic,75,403502,0.0,5,0.9583333333333334,0.009628516673576115,0.4375,0.05242940580049131,0.5625,0.05242940580049128
random_control,2,exact,64,49282,0.0,5,0.6686666666666666,0.012891103736901497,0.4625,0.024355108217708588,0.5375,0.02435510821770861
random_control,2,pairwise,64,401730,0.0,5,0.9226666666666667,0.01034810771751691,0.425,0.03816286573342802,0.575,0.038162865733428
