variant_name,layer_index,probe_name,probe_family,rank,num_parameters_mean,num_parameters_std,run_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,3,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.0,5,0.9841666666666666,0.005651941652604377,0.5194444444444444,0.06199642811296012,0.5388888888888889,0.049251731184714306
pretrained,3,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,0.0,5,0.9548333333333333,0.015268431484602451,0.5319444444444444,0.033878641437917974,0.5347222222222222,0.030270131552365815
pretrained,3,query_only,query_only,64,1538,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,3,triadic,triadic,87,401246,0.0,5,0.9825,0.007192781875680027,0.5097222222222222,0.044897860764568386,0.5375,0.01939477783856799
pretrained,4,exact_r1,exact,1,776,0.0,5,0.5823333333333334,0.017973746286057208,0.4861111111111111,0.04252586358998575,0.5333333333333333,0.02570382711572467
pretrained,4,exact_r16,exact,16,12386,0.0,5,0.6458333333333334,0.009071475440448864,0.5263888888888889,0.012422599874998832,0.5263888888888889,0.012422599874998832
pretrained,4,exact_r2,exact,2,1550,0.0,5,0.6276666666666667,0.015903353943953688,0.4888888888888889,0.04673977408462178,0.5388888888888889,0.021177709280523517
pretrained,4,exact_r4,exact,4,3098,0.0,5,0.6383333333333333,0.0072408946654094935,0.48194444444444445,0.03204994655337312,0.5236111111111111,0.027163343355011055
pretrained,4,exact_r64,exact,64,49538,0.0,5,0.6403333333333333,0.012056003575904502,0.5027777777777778,0.032423937583135415,0.525,0.016724436914989326
pretrained,4,exact_r8,exact,8,6194,0.0,5,0.6411666666666667,0.011080513425729778,0.5138888888888888,0.056842727582447565,0.5416666666666666,0.03608439182435163
pretrained,4,pairwise,pairwise,64,401986,0.0,5,0.9875,0.004487637339278734,0.5083333333333333,0.05017331074496789,0.5416666666666666,0.020833333333333343
pretrained,4,pairwise_plus_query_context,pairwise_plus_query_context,64,602608,0.0,5,0.9778333333333333,0.012618879154311258,0.5138888888888888,0.040193878134688305,0.5333333333333333,0.02162834930888537
pretrained,4,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.0,5,0.9898333333333333,0.007486098227158597,0.5652777777777778,0.0388516686963871,0.5652777777777778,0.0388516686963871
pretrained,4,pairwise_plus_triplet_mlp,pairwise_plus_triplet_mlp,64,803626,0.0,5,0.9858333333333333,0.009736101204623262,0.5527777777777778,0.023854950051830068,0.5527777777777778,0.023854950051830068
pretrained,4,query_only,query_only,64,1538,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
pretrained,4,triadic,triadic,87,401246,0.0,5,0.9813333333333334,0.012850637684134173,0.5736111111111111,0.07408130751719215,0.5736111111111111,0.07408130751719215
pretrained,5,exact_r1,exact,1,776,0.0,5,0.6045,0.02073811573997127,0.4861111111111111,0.025515518153991442,0.5166666666666666,0.02334407821384947
pretrained,5,exact_r16,exact,16,12386,0.0,5,0.6641666666666667,0.013527235900623274,0.48194444444444445,0.028036985053036596,0.5208333333333334,0.025515518153991446
pretrained,5,exact_r2,exact,2,1550,0.0,5,0.6456666666666667,0.013088905395198018,0.5125,0.041782247101364786,0.5347222222222222,0.02083333333333336
pretrained,5,exact_r4,exact,4,3098,0.0,5,0.658,0.012823589374447537,0.5055555555555555,0.04484412303045259,0.5305555555555556,0.02970729116139922
pretrained,5,exact_r64,exact,64,49538,0.0,5,0.6633333333333333,0.01748014746950254,0.48194444444444445,0.024355108217708588,0.5208333333333333,0.02140421528808674
