run_seed,variant_name,layer_index,probe_name,probe_family,rank,num_parameters,train_accuracy,test_accuracy,test_accuracy_polarity_invariant
19,pretrained,10,exact_r1,exact,1,776,0.6208333333333333,0.5069444444444444,0.5069444444444444
19,pretrained,10,exact_r2,exact,2,1550,0.67,0.4722222222222222,0.5277777777777778
19,pretrained,10,exact_r4,exact,4,3098,0.6783333333333333,0.5069444444444444,0.5069444444444444
19,pretrained,10,exact_r8,exact,8,6194,0.6816666666666666,0.5208333333333334,0.5208333333333334
19,pretrained,10,exact_r16,exact,16,12386,0.6991666666666667,0.5069444444444444,0.5069444444444444
19,pretrained,10,exact_r64,exact,64,49538,0.71,0.5069444444444444,0.5069444444444444
19,pretrained,10,pairwise,pairwise,64,401986,1.0,0.5416666666666666,0.5416666666666666
19,pretrained,10,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,1.0,0.5,0.5
19,pretrained,10,triadic,triadic,87,401246,0.995,0.5347222222222222,0.5347222222222222
19,pretrained,11,query_only,query_only,64,1538,0.5,0.5,0.5
19,pretrained,11,exact_r1,exact,1,776,0.61,0.4791666666666667,0.5208333333333333
19,pretrained,11,exact_r2,exact,2,1550,0.6433333333333333,0.4722222222222222,0.5277777777777778
19,pretrained,11,exact_r4,exact,4,3098,0.6833333333333333,0.5277777777777778,0.5277777777777778
19,pretrained,11,exact_r8,exact,8,6194,0.7041666666666667,0.5416666666666666,0.5416666666666666
19,pretrained,11,exact_r16,exact,16,12386,0.7075,0.4930555555555556,0.5069444444444444
19,pretrained,11,exact_r64,exact,64,49538,0.7183333333333334,0.5,0.5
19,pretrained,11,pairwise,pairwise,64,401986,1.0,0.5138888888888888,0.5138888888888888
19,pretrained,11,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.995,0.5555555555555556,0.5555555555555556
19,pretrained,11,triadic,triadic,87,401246,0.9975,0.5763888888888888,0.5763888888888888
19,pretrained,12,query_only,query_only,64,1538,0.5,0.5,0.5
19,pretrained,12,exact_r1,exact,1,776,0.6441666666666667,0.5138888888888888,0.5138888888888888
19,pretrained,12,exact_r2,exact,2,1550,0.6641666666666667,0.5347222222222222,0.5347222222222222
19,pretrained,12,exact_r4,exact,4,3098,0.6966666666666667,0.5,0.5
19,pretrained,12,exact_r8,exact,8,6194,0.7191666666666666,0.5347222222222222,0.5347222222222222
19,pretrained,12,exact_r16,exact,16,12386,0.735,0.5625,0.5625
19,pretrained,12,exact_r64,exact,64,49538,0.7308333333333333,0.5625,0.5625
19,pretrained,12,pairwise,pairwise,64,401986,1.0,0.5208333333333334,0.5208333333333334
19,pretrained,12,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,0.9991666666666666,0.5208333333333334,0.5208333333333334
19,pretrained,12,triadic,triadic,87,401246,1.0,0.5138888888888888,0.5138888888888888
19,random_control,0,query_only,query_only,64,1538,0.5,0.5,0.5
19,random_control,0,exact_r1,exact,1,776,0.5491666666666667,0.5833333333333334,0.5833333333333334
19,random_control,0,exact_r2,exact,2,1550,0.5991666666666666,0.4861111111111111,0.5138888888888888
19,random_control,0,exact_r4,exact,4,3098,0.6025,0.4791666666666667,0.5208333333333333
19,random_control,0,exact_r8,exact,8,6194,0.6075,0.4791666666666667,0.5208333333333333
19,random_control,0,exact_r16,exact,16,12386,0.6041666666666666,0.4861111111111111,0.5138888888888888
19,random_control,0,exact_r64,exact,64,49538,0.6058333333333333,0.4097222222222222,0.5902777777777778
19,random_control,0,pairwise,pairwise,64,401986,0.9958333333333333,0.4930555555555556,0.5069444444444444
19,random_control,0,pairwise_plus_triadic,pairwise_plus_triadic,64,803230,1.0,0.5,0.5
19,random_control,0,triadic,triadic,87,401246,0.9433333333333334,0.4166666666666667,0.5833333333333333
19,random_control,1,query_only,query_only,64,1538,0.5,0.5,0.5
19,random_control,1,exact_r1,exact,1,776,0.5941666666666666,0.4722222222222222,0.5277777777777778
19,random_control,1,exact_r2,exact,2,1550,0.6008333333333333,0.5138888888888888,0.5138888888888888
